SiteCode,sdatetime,sdate,Year,Month,DOY,Sample_ID,Sample_Qualifier,Enterococci,Reporting_Limit,Lab_Qualifier,Bacteria,Bacteria_Flag,Rain24,Rain48,Salinity,Air_Temp,Water_Temp,Weather,Past24HR_Weather,Past48HR_Weather,Tide_Stage,Water_Surface,Current
WIL-01,2005-03-28T12:30:00Z,2005-03-28,2005,3,87,WIL-01 3/28/2005,NA,20,10,NA,20,NA,NA,NA,NA,NA,NA,RAIN,NA,NA,NA,NA,NA
WIL-01,2005-03-29T12:50:00Z,2005-03-29,2005,3,88,WIL-01 3/29/2005,NA,10,10,NA,10,NA,2.2,NA,NA,NA,NA,CLEAR,HEAVY RAIN,NA,NA,NA,NA
WIL-01,2004-04-13T09:00:00Z,2004-04-13,2004,4,104,WIL-01 4/13/2004,NA,10,10,NA,10,NA,2,NA,NA,NA,NA,OVERCAST,MEDIUM RAIN,NA,NA,NA,NA
WIL-01,2005-04-27T14:00:00Z,2005-04-27,2005,4,117,WIL-01 4/27/2005,NA,62,10,NA,62,NA,0,NA,30,12,7,RAIN,MEDIUM RAIN,NA,NA,NA,NA
WIL-01,2004-05-24T13:15:00Z,2004-05-24,2004,5,145,WIL-01 5/24/2004,NA,259,10,NA,259,NA,0.87,NA,NA,NA,NA,OVERCAST,MEDIUM RAIN,NA,NA,NA,NA
WIL-01,2004-05-26T13:00:00Z,2004-05-26,2004,5,147,WIL-01 5/26/2004,NA,NA,10,U,10,TRUE,0.02,NA,NA,NA,NA,OVERCAST,LIGHT RAIN,NA,NA,NA,NA
WIL-01,2006-05-30T11:25:00Z,2006-05-30,2006,5,150,WIL-01 5/30/2006,NA,NA,10,U,10,TRUE,NA,NA,28,NA,NA,PARTLY CLOUDY,NA,NA,NA,NA,NA
WIL-01,2004-05-04T13:50:00Z,2004-05-04,2004,5,125,WIL-01 5/4/2004,NA,NA,10,U,10,TRUE,1,NA,NA,NA,NA,OVERCAST,LIGHT RAIN,NA,NA,NA,NA
WIL-01,2005-06-01T09:45:00Z,2005-06-01,2005,6,152,WIL-01 6/1/2005,NA,NA,10,U,10,TRUE,0,NA,25,16,11,CLEAR,NA,NA,NA,NA,NA
WIL-01,2006-06-01T09:30:00Z,2006-06-01,2006,6,152,WIL-01 6/1/2006,NA,NA,10,U,10,TRUE,NA,NA,31,14,11,OVERCAST,NA,NA,NA,NA,NA
WIL-01,2003-06-10T15:00:00Z,2003-06-10,2003,6,161,WIL-01 6/10/2003,NA,NA,10,U,10,TRUE,NA,NA,NA,NA,NA,CLEAR,NA,NA,NA,NA,NA
WIL-01,2009-06-10T09:00:00Z,2009-06-10,2009,6,161,WIL-01 6/10/2009,NA,NA,10,U,10,TRUE,NA,0.31,31,11.3,11.6,RAIN,NA,LIGHT RAIN,NA,CALM,NA
WIL-01,2003-06-11T00:00:00Z,2003-06-11,2003,6,162,WIL-01 6/11/2003,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,PARTLY CLOUDY,NA,NA,NA,NA,NA
WIL-01,2007-06-11T09:20:00Z,2007-06-11,2007,6,162,WIL-01 6/11/2007,NA,NA,10,U,10,TRUE,0,NA,30,23.1,12.4,CLEAR,NA,NA,NA,CALM,NA
WIL-01,2008-06-11T09:26:00Z,2008-06-11,2008,6,163,WIL-01 6/11/2008,NA,NA,10,U,10,TRUE,NA,0.1,28,16.1,10.9,OVERCAST,NA,LIGHT RAIN,NA,CALM,NA
WIL-01,2006-06-12T09:15:00Z,2006-06-12,2006,6,163,WIL-01 6/12/2006,NA,10,10,NA,10,NA,0.26,NA,25,22,18,CLEAR,LIGHT RAIN,NA,NA,CALM,NA
WIL-01,2005-06-13T10:30:00Z,2005-06-13,2005,6,164,WIL-01 6/13/2005,NA,NA,10,U,10,TRUE,NA,NA,25,27,17,OVERCAST,NA,NA,NA,NA,NA
WIL-01,2007-06-13T09:25:00Z,2007-06-13,2007,6,164,WIL-01 6/13/2007,NA,31,10,NA,31,NA,0.05,NA,28,11.5,13.1,RAIN,LIGHT RAIN,NA,NA,ROUGH,NA
WIL-01,2004-06-14T09:45:00Z,2004-06-14,2004,6,166,WIL-01 6/14/2004,NA,NA,10,U,10,TRUE,0,NA,33,19,11,OVERCAST,NA,NA,NA,NA,NA
WIL-01,2006-06-14T09:30:00Z,2006-06-14,2006,6,165,WIL-01 6/14/2006,NA,NA,10,U,10,TRUE,0,NA,25,23,17,CLEAR,NA,NA,NA,CALM,NA
